candidate_id,annotator_id,elliptical_type,candidate_text,span,sentence_quality,acquisition_method
aug_prop_11102,3,Genitive Drop,Türker kıza kaşlarını çattı .,['Türker'],True,augmentation
sim_v0_14867,5,Genitive Drop,"Hazinesi altın, gümüş ve değerli taşlarla doluydu.",[],True,raw
aug_prop_17730,5,Subject Drop,Ahmet Soner adamın harbilerle dövülmesini emretmiş ve konağın içinde dövmüşlerdi adamı .,[],True,augmentation
aug_prop_16116,1,Genitive Drop,"Esra Çetin henüz evet dememişti , ama hayır da demiyordu ; cevabını ertelemişti yalnızca .",,,augmentation
sluice_973,5,Subject Drop,Sadece Bob'un bilmesini istemediğim için ne kadar olduğunu söylemeyi reddetti. '',[],True,gold
aug_prop_10026,1,Gapping,"Onlar katran ağacı dağını görüyor , tanrıların oturduğu yeri , İrnina'nın ( yedi ) yüksek tapınağını .",,,augmentation
sim_v0_8367,5,Subject Drop,"Bruenor lekelenmiş baltasının keskin ucunu yaladı, sonra tiksinerek tükürdü.",['Bruenor'],True,raw
sim_v0_18991,5,Gapping,"Sen ayaklarından tut, ben başından.","['tut,']",True,raw
seed_956,1,Genitive Drop,Burnunu yaptırmak istiyormuş.,,,gold
ngmc_0_1655,1,Subject Drop,"""Hayır, C370'i hatırlıyorum, çünkü kesinlikle metastazları vardı ama çürüyorlardı.""",,,raw
bome_0_5152,1,Argument Drop,"Hysbald dört bir yandan yıldırım gibi saldırıyordu ona, ama Kahraman Hynreck daha hızlıydı.",['Hysbald'],True,raw
sim_v0_14145,5,Subject Drop,"İnsan usunun ilerlemesi konusundaki söylevinde, Bossuet’nin evrensel tarihini yineler.",[],True,raw
seed_2714,3,Genitive Drop,Patileri kurursa.,[],True,gold
seed_1379,3,Genitive Drop,Küçükken babaannem bana anlatırdı.,[],True,gold
sluice_2357,3,Subject Drop,Hangi tür Hazine olduğunu belirlemek için altının bir yıl önceki fiyatını cari fiyatla karşılaştırırsınız.,[],True,gold
aug_prop_6765,1,Object Drop,"Kolunu Özgür y’ninkin kurtarmaya çalıştı , ama kız bırakmadı .",,,augmentation
aug_prop_691,3,Genitive Drop,Harald'ın nefesi kesildi ama dili tutulmuştu.,"[""Harald'ın""]",True,augmentation
sim_v0_24920,3,Genitive Drop,Dün üzerinde çalıştığı dizeler neredeydi?,[],True,raw
aug_prop_10157,5,Subject Drop,Şahabettin gözlerinin onun üzerinde olduğunu hissediyordu ama ona bakamayacağını düşündü .,['Şahabettin'],True,augmentation
aug_prop_12994,1,Genitive Drop,"Bu Prenses boş yere Handan sevmiş , zevcesi olmuş ama eşi olamamıştı .",,,augmentation
aug_prop_10482,6,Argument Drop,"Sen Remziye inanıyorsan , ben inanmıyorum ! ..",['Remziye'],True,augmentation
udpr_0_2641,6,Stripping,Dünyalı olduğunu düşündüm bir anda ve seni bu hergelenin eline katiyen bırakamayacağımı.,['düşündüm'],True,raw
sim_v0_18002,5,Subject Drop,"""İlk mektebi bitirince işe verdik, nalburun yanına.",[],True,raw
sluice_2807,3,Genitive Drop,"Gore'un kızı ve kampanyasının danışmanı Karenna Gore Schiff, “Eğer bir değişiklik varsa, insanlar nedenini bilmeyi hak ediyor” dedi.",['değişiklik'],True,gold
aug_prop_16200,5,Object Drop,"Ömer gökhan gözlerini yumdu , ama ağzım saklayamadı .",[],True,augmentation
seed_433,1,Genitive Drop,"Sınavda kaleme ihtiyacı vardı, arkadaşım ödünç verdi.",[],True,gold
aug_prop_18575,1,Gapping,"Adil , Ramazan korkuyor ; Emrah Papatya .",,,augmentation
aug_prop_18751,5,Genitive Drop,Evrim dilekçeyi okuyor ve başını sallıyordu .,['Evrim'],True,augmentation
seed_2035,3,Subject Drop,Kapağın altındakini 8855'e mesaj atın.,[],True,gold
seed_317,1,Argument Drop,"Sen yine bildiğini yapacaksın, o yüzden biz ne söylesek nafile.",,,gold
sim_v0_21055,5,Subject Drop,"""Ta en başından anlatayım.",[],True,raw
aug_prop_24415,3,Subject Drop,"Ömer bir şeyler söyledi ama Burcu anlamamıştı , başını salladı .",['Burcu'],True,augmentation
aug_prop_25682,5,Genitive Drop,Cihan anlaşmam bir zaruretten doğdu .,[],True,augmentation
aug_prop_7337,3,Genitive Drop,Cundullah dilekçeyi okuyor ve başını sallıyordu .,['Cundullah'],True,augmentation
seed_2595,3,NP Drop,Firavunun mezarından çıkanlarla.,[],True,gold
seed_2515,1,Fragment,"Hayır, solak.",[],True,gold
snknes_0_195,1,Genitive Drop,"Harika bir duygu sarmıştı içimi, gururluydum, mutluydum, coşkuluydum.",[],True,raw
aug_prop_25161,1,Gapping,"Mehmet raşit Yahudilerinin oturduğu bu yere Emine Sokak da derlerdi , Emin tonyukuk Sokağı da .",,,augmentation
aug_prop_4565,3,Subject Drop,Korku tüm vücudunu sardı  artık soğuğu hissetmiyordu.,[],True,augmentation
seed_2174,1,Ki Expression,Yazarın yeni kitabındaki senin de ilgini çekti mi?,[],True,gold
aug_prop_9778,1,Gapping,"Berfin ana olay dizisini yazdı , Meriç ise ikincil olay dizisini .",,,augmentation
aug_prop_12748,1,Genitive Drop,Erkeklerin vücudu bana sadece cezayı öğretmişti ama Hasan kadir ki rahatlık veriyordu ve saçları yüzüme saten gibi sürünüyordu .,,,augmentation
sko_0_20238,1,Stripping,"Bu yüzden aşk zaman zaman sana huzur verir, ama her zaman değil.",,,raw
baynfk_0_2896,1,Genitive Drop,"Yağmur altında, evimize saatlerce uzak o yerde, tek başına, boynu bükük, uzaklaştın gittin.",[],True,raw
seed_1361,3,Genitive Drop,Casus gizlice cebine attı.,[],True,gold
aug_prop_6088,5,Argument Drop,Adam başıyla onayladı ve Berçem yaklaştı .,['Adam'],True,augmentation
aug_prop_2624,5,Genitive Drop,Delikanlı  babasının gözlerinde de dünyayı gezme arzusu olduğunu gördü.,['Delikanlı'],True,augmentation
aug_prop_24303,5,Genitive Drop,Eren onaylar bir şekilde başını salladı .,['Eren'],True,augmentation
sluice_2139,5,Genitive Drop,Ama sayıları çalıştırın ve adını düşünün ve nedenini merak etmelisiniz.,[],True,gold
aug_prop_13799,5,Object Drop,Hasan yavuzhan onun omzunu sıkmaya ve ovmaya başladı .,['onun omzunu'],True,augmentation
seed_1681,1,NP Drop,Parlak boyalar yerine matlardan aldık.,[],True,gold
sim_v0_7436,5,Subject Drop,Cinsel güçlükler içinde bunalıyor ve dikkafalılığa başvuruyor.,[],True,raw
aug_prop_21283,1,Genitive Drop,""" Yasadışı ilaç kullandığımı inkâr ediyorum , "" dedi Esra , ama sözleri kendi kulağına bile inandırıcı gelmedi .",,,augmentation
sim_v0_20484,3,Genitive Drop,Çocukluk günleri Sarkışla'nın sokaklarında geçmişti.,[],True,raw
sluice_595,6,Genitive Drop,"Birkaç şirket etkinliğe katkıda bulunduğunu kabul etti, ancak ne kadar olduğunu söylemeyi reddetti.",['Birkaç şirket'],True,gold
yejt_0_13416,5,Argument Drop,"Ben, tepeye tırmanırken Sam'le karşılaşıp beni izlemesini söylemiştim; ama belli o öyle yapmamış.","[""Sam'le""]",True,raw
aug_prop_8152,5,Subject Drop,Cem kılıç kemerini çözdü ve ona uzattı .,['Cem kılıç'],True,augmentation
aug_prop_3259,5,Genitive Drop,Birkaç blok sonra cebindeki tabancayla dergileri bir çöp kutusuna attı.,[],True,augmentation
