candidate_id,annotator_id,elliptical_type,candidate_text,span,sentence_quality,acquisition_method
aug_prop_6970,3,Subject Drop,Erdem ağzını açtı ama konuşmadan kapattı .,['Erdem'],True,augmentation
aug_prop_1655,3,Subject Drop,Sevmeyi beceremediği için de ölmez.,[],True,augmentation
aug_prop_8257,3,Genitive Drop,Yasin eşinin çenesini kaldırdı ve onu öptü .,['Yasin'],True,augmentation
seed_241,1,Object Drop,Ondan ödünç almıştım.,,,gold
aug_prop_21726,1,Genitive Drop,"Hikmet ekin de aynı şeyi yaptı , ancak aklı hâlâ konuşmada ydı .",,,augmentation
aug_prop_19221,3,Subject Drop,Mehmet gözlerinin onun üzerinde olduğunu hissediyordu ama ona bakamayacağını düşündü .,['Mehmet'],True,augmentation
aug_prop_6868,3,Subject Drop,"Duygu yanıtlamak istedi , fırsat bulamadı .",['Duygu'],True,augmentation
aug_prop_2625,4,Genitive Drop,Genç adam  babasının gözlerinde dünyayı gezme arzusu olduğunu gördü.,['Genç adam'],True,augmentation
sluice_3175,3,Subject Drop,Ne kadar kötü ?,[],True,gold
sluice_553,5,Subject Drop,`` Bugüne kadar hala nedenini merak ediyorum.,[],True,gold
aug_prop_20024,5,Genitive Drop,Ersen gözlerini açtı ve büyü bozuldu .,['Ersen'],True,augmentation
aug_prop_19703,5,Object Drop,"Mahsum Bey söylediklerimi küçümsemedi , ciddiyetle cevaplamaya yöneldi .",['söylediklerimi'],True,augmentation
aug_prop_7545,3,Genitive Drop,Firat Cihan hâlâ gözlüğünü siliyordu .,['Firat Cihan'],True,augmentation
aug_prop_16936,6,Subject Drop,İlker dizginleri çekti ve atından indi .,['İlker'],True,augmentation
seed_1529,3,Object Drop,O bizim patronumuz ve uymak zorundayız.,[],True,gold
seed_1649,1,NP Drop,Ahşap bir sehpa yerine demir alalım.,[],True,gold
sluice_796,5,Genitive Drop,"İngiltere'nin en üst düzey finans piyasası düzenleyicisi olan Menkul Kıymetler ve Vadeli İşlemler Kurumu, Barings Plc'nin bazı eski yöneticileri hakkında disiplin soruşturması başlattığını, ancak bunların sayısını söylemediğini söyledi.",[],True,gold
aug_prop_16190,3,Genitive Drop,Emre padişah olunca durumu sarsıldı .,[],True,augmentation
seed_596,1,NP Drop,"Yağmurlu havada o dışarı çıkmaz, güneşliyken çıkar.",,,gold
aug_prop_16790,1,Genitive Drop,"Mehmet bir an için onu izlemeyi düşündü , ama bacakları onu taşımayacak kadar ağırdı .",,,augmentation
aug_prop_16823,3,Genitive Drop,Mücadiye salondan çıktı ve odasına girdi .,['Mücadiye'],True,augmentation
aug_prop_14359,5,Subject Drop,Nilay Adem trafik ışıklarında kenara çekildim ve beni görmesini sağladım .,['beni'],True,augmentation
aug_prop_4802,5,Object Drop,Prens yanlış duyduğunu düşündü.,[],True,augmentation
aug_prop_8843,5,Stripping,Bu pek çok yerde doğru olabilir ama Muhammed nuri Eyyüp değil .,['pek çok yerde doğru olabilir'],True,augmentation
seed_2571,1,Fragment,Çiçekleri seven çocuğu fark edince.,[],True,gold
aug_prop_25813,5,Genitive Drop,Mehtap Hasibe kocasının öldüğünü anlamıştı .,['Mehtap Hasibe'],True,augmentation
aug_prop_17528,4,No Ellipsis,"Kafasının içinde ki çılgın bir ses gıdaklar gibi konuştu : "" Abdulmelik artık ne dir ?",[],True,augmentation
sluice_1656,3,Subject Drop,"`` Bir kişi yemeği yemiyorsa, nedenini bilmek istiyorum.",[],True,gold
seed_1864,1,NP Drop,"Dolaptaki biraz kırışmış, ütüleyelim.",[],True,gold
aug_prop_21077,3,Object Drop,"Açlığı , kanın garip tadını bastırdı ve Büşra hevesle içti .",['kanın'],True,augmentation
aug_prop_11895,5,No Ellipsis,Ceyhun Emiş esir kampında tutuldu .,[],True,augmentation
aug_prop_12620,6,Object Drop,Deniz elimi tuttu ve hafifçe öptü .,['elimi'],True,augmentation
aug_prop_23429,6,Gapping,"Madam Seda daha az yiyordu , bu ona da iyi geliyordu , bize de .",['iyi geliyordu'],True,augmentation
seed_2727,1,Fragment,Güler yüzlü bir arkadaş.,[],True,gold
aug_prop_2078,5,Subject Drop,anası ile evlenmişti! Bilmeden öz babasını öldürüp annesiyle evlendi!,[],True,augmentation
aug_prop_14657,6,No Ellipsis,"“Ateşlidemirimle dalga geçme , evlat , ” dedi Ülkühan , ama yüzünde hüzünlü bir gülümseme vardı .",[],True,augmentation
aug_prop_20714,5,Subject Drop,Bariş elini kaldırdı ve ona baktı .,['Bariş'],True,augmentation
aug_prop_23422,3,Subject Drop,Lütfi tüfeği kaldırdı ve emniyetini açtı .,['Lütfi'],True,augmentation
aug_prop_10680,5,Argument Drop,Mehtap bağlı kuvvetler tarafından kılıçtan geçirildi .,[],True,augmentation
aug_prop_14095,1,Gapping,"dört kez çuvallamıştı , Stockholm'de ve şimdi .",,,augmentation
aug_prop_1361,5,Subject Drop,Aksi halde sözlerini anlayamaz  konuşması bloke olur.,[],True,augmentation
seed_107,1,Object Drop,"Eskiden biz gitar çalardık, annem de dinlerdi.",,,gold
aug_prop_11432,1,Genitive Drop,"Yine Cihan , yüzünü ameliyat etmeyi teklif etti ama Gamze reddetti .",,,augmentation
seed_2794,1,Fragment,"Kedisi, köpeği ve kuşuna.",[],True,gold
aug_prop_9564,1,Gapping,"Fatih önce Moğol korkusu geldi , peşinden kendileri .",,,augmentation
aug_prop_16515,1,Object Drop,"Çağla Davut alışkındılar , ama Burhan bir türlü alışamıyordu .",,,augmentation
aug_prop_21066,5,Genitive Drop,"Demir , hafif nem li gözleriyle yırtılmayan çadırın bezlerinde dalgın düşünüyordu .",['Demir'],True,augmentation
aug_prop_11929,1,Genitive Drop,"Hasan elinde ki fincana baktı , aniden içinde kini Tuncay yüzüne fırlattı .",,,augmentation
seed_943,1,Stripping,"Kullandığın şey bir göz kalemi, boya kalemi değil.",,,gold
aug_prop_19756,6,Genitive Drop,Hatun elini uzattı ama Ömer reddetti .,['Hatun'],True,augmentation
aug_prop_2066,5,Argument Drop,Diyelim ki eve gitmek istiyorum ama öğretmen hayır diyor.,['eve gitmek istiyorum'],True,augmentation
aug_prop_5257,5,Subject Drop,O yalnız kaldığında eve gidersin.,[],True,augmentation
aug_prop_22324,3,Genitive Drop,"Derya ona bedelini söylemişti , o da ödemişti .",[],True,augmentation
aug_prop_3874,6,Object Drop,Havuzu seviyorum ama kardeşim hiç sevmiyor.,['Havuzu'],True,augmentation
aug_prop_4017,6,Genitive Drop,kaşı çatıldı. Kapıcı kaşlarını çattı ve zarfa baktı.,['Kapıcı'],True,augmentation
aug_prop_6763,0,Object Drop,Ama Birsen dışında kim bilebilirdi ?,[],True,augmentation
aug_prop_17594,5,Subject Drop,Abdulsemet iyi bir diplomattı ama kayıtsız bir politikacı ydı .,['Abdulsemet'],True,augmentation
aug_prop_17584,1,Gapping,"Böyle bakınca önce şehir'i tanıdı taşa kazılı sözcüklerin arasında , sonra Andaç .",,,augmentation
aug_prop_8252,3,Genitive Drop,"Törende ki son konuşmalar henüz kulaklarında yankılanırken , Abdurrahman kapıyı vurdu .",[],True,augmentation
seed_352,1,Genitive Drop,Daha önce senden bir talebim olmadı ama şimdi ilk kez bir şey isteyeceğim.,[],True,gold
seed_2148,1,Ki Expression,Tepedeki evler deniz kenarındakilerden daha ucuz.,[],True,gold
aug_prop_2149,3,Genitive Drop,Her zaman fikirleriyle onlara öncülük etmiş ve onları etkilemiştir.,[],True,augmentation
seed_1146,3,Genitive Drop,Eşyalarını bu kutuya koyabilirsin.,[],True,gold
aug_prop_1286,5,Genitive Drop,Aniden çanların sesi kesildi ve adımlarını kaybetti.,[],True,augmentation
aug_prop_16272,3,Subject Drop,Eyyüp dizginleri bıraktı ve kılıcını çekti .,['Eyyüp'],True,augmentation
aug_prop_1828,6,Subject Drop,Alçak masanın camına vurdu.,[],True,augmentation
aug_prop_18736,1,Genitive Drop,"sekiz de birbirini izliyor , ama bakışları karşılaşır karşılaşmaz , şimşek hızıyla gözlerini başka yana çeviriyorlardı .",,,augmentation
sluice_4065,5,Genitive Drop,`` Biliyorum büyük olacak ; ne kadar büyük olduğunu söylemek için çok erken. '',[],True,gold
aug_prop_14948,1,Object Drop,"Burcu en yürek sızlatıcı ihtimalleri bir bir gözden geçirecek gücü buldu , bir umut kapısı aradı ama bulamadı .",,,augmentation
