candidate_id,annotator_id,elliptical_type,candidate_text,span,sentence_quality
aug_prop_11102,003,Genitive Drop,Türker kıza kaşlarını çattı .,['Türker'],True
sim_v0_14867,005,Genitive Drop,"Hazinesi altın, gümüş ve değerli taşlarla doluydu.",[],True
aug_prop_17730,005,Subject Drop,Ahmet Soner adamın harbilerle dövülmesini emretmiş ve konağın içinde dövmüşlerdi adamı .,[],True
aug_prop_16116,0001,Genitive Drop,"Esra Çetin henüz evet dememişti , ama hayır da demiyordu ; cevabını ertelemişti yalnızca .",,
sluice_973,005,Subject Drop,Sadece Bob'un bilmesini istemediğim için ne kadar olduğunu söylemeyi reddetti. '',[],True
aug_prop_10026,0001,Gapping,"Onlar katran ağacı dağını görüyor , tanrıların oturduğu yeri , İrnina'nın ( yedi ) yüksek tapınağını .",,
sim_v0_8367,005,Subject Drop,"Bruenor lekelenmiş baltasının keskin ucunu yaladı, sonra tiksinerek tükürdü.",['Bruenor'],True
sim_v0_18991,005,Gapping,"Sen ayaklarından tut, ben başından.","['tut,']",True
seed_956,0001,Genitive Drop,Burnunu yaptırmak istiyormuş.,,
ngmc_0_1655,0001,Subject Drop,"""Hayır, C370'i hatırlıyorum, çünkü kesinlikle metastazları vardı ama çürüyorlardı.""",,
bome_0_5152,001,Argument Drop,"Hysbald dört bir yandan yıldırım gibi saldırıyordu ona, ama Kahraman Hynreck daha hızlıydı.",['Hysbald'],True
sim_v0_14145,005,Subject Drop,"İnsan usunun ilerlemesi konusundaki söylevinde, Bossuet’nin evrensel tarihini yineler.",[],True
seed_2714,003,Genitive Drop,Patileri kurursa.,[],True
seed_1379,003,Genitive Drop,Küçükken babaannem bana anlatırdı.,[],True
sluice_2357,003,Subject Drop,Hangi tür Hazine olduğunu belirlemek için altının bir yıl önceki fiyatını cari fiyatla karşılaştırırsınız.,[],True
aug_prop_6765,0001,Object Drop,"Kolunu Özgür y’ninkin kurtarmaya çalıştı , ama kız bırakmadı .",,
aug_prop_691,003,Genitive Drop,Harald'ın nefesi kesildi ama dili tutulmuştu.,"[""Harald'ın""]",True
sim_v0_24920,003,Genitive Drop,Dün üzerinde çalıştığı dizeler neredeydi?,[],True
aug_prop_10157,005,Subject Drop,Şahabettin gözlerinin onun üzerinde olduğunu hissediyordu ama ona bakamayacağını düşündü .,['Şahabettin'],True
aug_prop_12994,0001,Genitive Drop,"Bu Prenses boş yere Handan sevmiş , zevcesi olmuş ama eşi olamamıştı .",,
aug_prop_10482,006,Argument Drop,"Sen Remziye inanıyorsan , ben inanmıyorum ! ..",['Remziye'],True
udpr_0_2641,006,Stripping,Dünyalı olduğunu düşündüm bir anda ve seni bu hergelenin eline katiyen bırakamayacağımı.,['düşündüm'],True
sim_v0_18002,005,Subject Drop,"""İlk mektebi bitirince işe verdik, nalburun yanına.",[],True
sluice_2807,003,Genitive Drop,"Gore'un kızı ve kampanyasının danışmanı Karenna Gore Schiff, “Eğer bir değişiklik varsa, insanlar nedenini bilmeyi hak ediyor” dedi.",['değişiklik'],True
aug_prop_16200,005,Object Drop,"Ömer gökhan gözlerini yumdu , ama ağzım saklayamadı .",[],True
seed_433,001,Genitive Drop,"Sınavda kaleme ihtiyacı vardı, arkadaşım ödünç verdi.",[],True
aug_prop_18575,0001,Gapping,"Adil , Ramazan korkuyor ; Emrah Papatya .",,
aug_prop_18751,005,Genitive Drop,Evrim dilekçeyi okuyor ve başını sallıyordu .,['Evrim'],True
seed_2035,003,Subject Drop,Kapağın altındakini 8855'e mesaj atın.,[],True
seed_317,0001,Argument Drop,"Sen yine bildiğini yapacaksın, o yüzden biz ne söylesek nafile.",,
sim_v0_21055,005,Subject Drop,"""Ta en başından anlatayım.",[],True
aug_prop_24415,003,Subject Drop,"Ömer bir şeyler söyledi ama Burcu anlamamıştı , başını salladı .",['Burcu'],True
aug_prop_25682,005,Genitive Drop,Cihan anlaşmam bir zaruretten doğdu .,[],True
aug_prop_7337,003,Genitive Drop,Cundullah dilekçeyi okuyor ve başını sallıyordu .,['Cundullah'],True
seed_2595,003,NP Drop,Firavunun mezarından çıkanlarla.,[],True
seed_2515,001,Fragment,"Hayır, solak.",[],True
snknes_0_195,001,Genitive Drop,"Harika bir duygu sarmıştı içimi, gururluydum, mutluydum, coşkuluydum.",[],True
aug_prop_25161,0001,Gapping,"Mehmet raşit Yahudilerinin oturduğu bu yere Emine Sokak da derlerdi , Emin tonyukuk Sokağı da .",,
aug_prop_4565,003,Subject Drop,Korku tüm vücudunu sardı  artık soğuğu hissetmiyordu.,[],True
seed_2174,001,Ki Expression,Yazarın yeni kitabındaki senin de ilgini çekti mi?,[],True
aug_prop_9778,0001,Gapping,"Berfin ana olay dizisini yazdı , Meriç ise ikincil olay dizisini .",,
aug_prop_12748,0001,Genitive Drop,Erkeklerin vücudu bana sadece cezayı öğretmişti ama Hasan kadir ki rahatlık veriyordu ve saçları yüzüme saten gibi sürünüyordu .,,
sko_0_20238,0001,Stripping,"Bu yüzden aşk zaman zaman sana huzur verir, ama her zaman değil.",,
baynfk_0_2896,001,Genitive Drop,"Yağmur altında, evimize saatlerce uzak o yerde, tek başına, boynu bükük, uzaklaştın gittin.",[],True
seed_1361,003,Genitive Drop,Casus gizlice cebine attı.,[],True
aug_prop_6088,005,Argument Drop,Adam başıyla onayladı ve Berçem yaklaştı .,['Adam'],True
aug_prop_2624,005,Genitive Drop,Delikanlı  babasının gözlerinde de dünyayı gezme arzusu olduğunu gördü.,['Delikanlı'],True
aug_prop_24303,005,Genitive Drop,Eren onaylar bir şekilde başını salladı .,['Eren'],True
sluice_2139,005,Genitive Drop,Ama sayıları çalıştırın ve adını düşünün ve nedenini merak etmelisiniz.,[],True
aug_prop_13799,005,Object Drop,Hasan yavuzhan onun omzunu sıkmaya ve ovmaya başladı .,['onun omzunu'],True
seed_1681,001,NP Drop,Parlak boyalar yerine matlardan aldık.,[],True
sim_v0_7436,005,Subject Drop,Cinsel güçlükler içinde bunalıyor ve dikkafalılığa başvuruyor.,[],True
aug_prop_21283,0001,Genitive Drop,""" Yasadışı ilaç kullandığımı inkâr ediyorum , "" dedi Esra , ama sözleri kendi kulağına bile inandırıcı gelmedi .",,
sim_v0_20484,003,Genitive Drop,Çocukluk günleri Sarkışla'nın sokaklarında geçmişti.,[],True
sluice_595,006,Genitive Drop,"Birkaç şirket etkinliğe katkıda bulunduğunu kabul etti, ancak ne kadar olduğunu söylemeyi reddetti.",['Birkaç şirket'],True
yejt_0_13416,005,Argument Drop,"Ben, tepeye tırmanırken Sam'le karşılaşıp beni izlemesini söylemiştim; ama belli o öyle yapmamış.","[""Sam'le""]",True
aug_prop_8152,005,Subject Drop,Cem kılıç kemerini çözdü ve ona uzattı .,['Cem kılıç'],True
aug_prop_3259,005,Genitive Drop,Birkaç blok sonra cebindeki tabancayla dergileri bir çöp kutusuna attı.,[],True
sim_v0_7355,005,Argument Drop,Ursula'nın onlardan korktuğunu biliyordum ama ben korkmuyordum.,['onlardan'],True
odhm_0_46,006,Genitive Drop,"Her şeyde hemen karşıtını görüyordum, çelişkiyi; gerçekle gerçekdışının arasında da ironiyi, paradoksu.",['Her şeyde'],True
sim_v0_3872,0001,Subject Drop,Yokuş aşağı çok rahat ve yorulmadan ilerliyorduk.,,
aug_prop_1088,005,Argument Drop,Jacques Melies silahını indirdi ve serseriler kaçtı.,[],True
aug_prop_22065,0001,Gapping,"Nilgün gibi o da düşecek , hem de ölümde ve yaşamda kader birliği ettiği arkadaşlarının eliyle .",,
seed_832,001,Subject Drop,Hem akşam yemeği pişirmek istiyorum hem de film izlemek.,[],True
sim_v0_4201,0001,Object Drop,Camdan dışarı atabilirdi yada hapı yutabilirdi.,,
aug_prop_3956,003,Subject Drop,Çayı aldı ama bizimkini içmedi.,[],True
sim_v0_25474,005,NP Drop,İbranice bilenler verilen anlamları tartışacaklardır (şimdiden bunu yapmışlardır).,[],True
sim_v0_25379,005,Object Drop,"Duval adına iki mektup vardı, aldım, geldim.",['Duval adına iki mektup'],True
sim_v0_24163,005,Genitive Drop,"Kapıcımız beş dakikalığına tuvalete gittiği için, o açmış size kapıyı.",[],True
aug_prop_18192,004,Genitive Drop,Mehmet gazeteyi kaptı ve ziyaretçilerine gösterdi .,['Mehmet'],True
aug_prop_24426,005,Genitive Drop,"Coşkun bakışı odak noktasını kaybetti , gözleri anılarla düzleşti .",[],True
aug_prop_9922,005,Subject Drop,Mustafa artık Mehmet akif un yüzünü göremiyor ama gürleyen sesini duyuyordu .,['Mustafa'],True
seed_1066,003,Genitive Drop,Şnorkelini taktı ve denize daldı.,[],True
aug_prop_23679,005,Genitive Drop,Büşra ağzını açtı ve kan tükürdü .,['Büşra'],True
aug_prop_694,005,Genitive Drop,Catti-brie arkasını döndü ve nefesi kesildi.,['Catti-brie'],True
